num_slice,confianza LV,area bbox LV,confianza IC,area bbox IC,calidad
4,0.7517327485176869,24785,0.6947903680495235,14388,media
1,0.4356653788552933,18826,0.38825342619759,8386,mala
6,0.8935462392245752,29634,0.92247523794112,18827,buena
2,0.8464200162780781,32703,0.8554739169368386,21353,buena
7,0.5605689628072658,16221,0.5674283827847648,6500,mala
6,0.4826731074036635,23663,0.4492515310513115,13390,mala
4,0.897627249699177,25837,0.8289037675696365,15294,media
2,0.7155542259934318,28807,0.5449816317539229,17443,mala
6,0.7711429244267005,23206,0.7788915725904761,13147,media
9,0.0,0,0.0,0,mala
1,0.5357269035890392,30085,0.3936845622310029,18969,mala
7,0.4781476509066786,19103,0.5973067635276954,9523,media
6,0.7254307886383794,21061,0.6000350667026969,11177,media
2,0.7817414686267053,22604,0.4732783071966253,12369,media
3,0.8292709773420531,25595,0.6981965959966913,14901,media
3,0.9412302670799112,28405,0.8860105693727547,17644,buena
4,0.9258500566937264,20069,0.892046771404634,10420,buena
5,0.6055447432420268,32327,0.3174558940301737,20545,mala
3,0.9411535600224196,23731,0.9829005220730864,13468,media
7,0.6519796413814856,13996,0.4764797187645631,4376,mala
9,0.9194822747366376,22697,0.707091148811557,12797,media
2,0.7206444723706886,14788,0.7859874129062399,5613,media
8,0.749225493812469,24044,0.7837038721565613,13854,media
6,0.8037755151810082,19018,0.7889438931923916,9340,media
2,0.4128241887830194,27676,0.2887906227517409,16470,mala
6,0.4983851352289356,28678,0.5661784246009406,17720,mala
2,0.8207186889760244,24646,0.5584871961175393,14086,media
9,0.8584693209439883,22126,0.8571674264164352,12210,media
3,0.98135613560582,22181,0.901133683934102,12161,buena
8,0.9184823429446072,19568,0.8953197835535089,10161,buena
9,0.4766042671590447,23054,0.4125249974109022,13063,mala
3,0.790811977790607,32131,0.6607055054531226,20919,media
7,0.8595284092400882,20651,0.6434009623953797,10876,media
6,0.8755210516446,20560,0.9269560103777374,10851,buena
10,0.7618577856010939,24015,0.5752993265276648,13996,media
7,0.8837176407172327,19942,0.6383121837252768,10209,media
2,0.0,0,0.0,0,mala
8,0.7966817662925649,15451,0.88410408057597,6399,media
6,0.8777314792033113,24360,0.8973023743517459,14255,buena
6,0.8684718681201097,22422,0.8414311576771261,12530,buena
